salon_id,salon_type,monthly_sales,social_tags,social_followers,check_ins,avg_income,urban_density,avg_review,future_sales_90p
salon_054,barber_shop,15284.715957663688,44,9542,694,67687.27492147329,0.5774862709061257,2.8,38564.571614357104
salon_055,Other,27019.793693296466,56,6290,726,52196.56645942285,0.3553624518183959,3.2,20705.88683859245
salon_056,Other,19907.2459774418,40,1356,781,77807.29438145223,0.3914821102015019,4.4,20060.40826422366
salon_057,hair_salon,11632.476890048883,54,3476,455,62524.79788343585,0.531857479688174,3.1,28858.395417339518
salon_058,Other,14637.340827821712,39,5745,458,64002.18970407038,0.0666191123908169,1.7,19487.770955161308
salon_059,Other,15037.069102984047,49,3586,890,52154.881061866974,0.2290253909247963,2.2,30729.566849954
salon_060,barber_shop,20511.73841274833,49,3684,497,64718.26991266396,0.5428493106134089,2.2,24229.56298291916
salon_061,hair_salon,17836.953597259933,52,9688,809,66510.65056670304,0.4315281431364426,2.6,21289.612596722625
salon_062,barber_shop,16704.08848781761,33,8153,43,48302.315661749104,0.3328157859124843,2.7,20649.96457977775
salon_063,barber_shop,20019.68652215701,53,3430,357,43409.08411612344,0.7305491368093014,4.2,29245.55302258157
salon_064,barber_shop,22388.77049716764,59,2803,104,62936.660236094656,0.6937176074033384,2.4,23382.92328762102
salon_065,barber_shop,18704.856776305547,42,8762,81,55112.301765444674,0.1667307599933831,2.9,24593.85238714462
salon_066,barber_shop,17126.453961933003,53,8220,560,62599.214691357294,0.8786291153734382,3.5,25246.01123562177
salon_067,barber_shop,17892.50889830058,51,7214,163,47089.63929101885,0.4954236264039656,2.5,22797.617111336145
salon_068,barber_shop,21699.10482093322,53,1453,259,44394.94085617329,0.7414609111390454,4.3,25119.2333580999
salon_069,hair_salon,19963.099250277133,51,5163,683,62066.89463001077,0.5731508492573887,3.3,21290.059463914055
salon_070,Other,0.0,48,8649,447,56502.16239043148,0.9976926159238432,2.2,0.0
salon_071,barber_shop,14251.037112528207,61,7675,127,38893.00478849822,0.7524031200388227,3.9,15285.310431839747
salon_072,barber_shop,16123.31947021528,37,767,780,73430.9881810773,0.706980461243459,3.1,23786.561505510384
salon_073,barber_shop,23865.704279446243,54,4568,900,46923.42931816242,0.7785719390507511,3.1,11682.75395972668
salon_074,barber_shop,15990.86078325153,46,9437,315,85733.24952110433,0.1431279855484696,2.9,23701.34842366548
salon_075,barber_shop,26920.07859466339,45,6919,277,53759.83271111421,0.2045445931694632,3.0,20316.303903011118
salon_076,barber_shop,27026.02652939094,54,3819,970,64015.60568125999,0.7140640822236142,4.1,24247.51065670587
salon_077,Other,26961.628767459515,60,2845,63,76469.49010387185,0.4939814871308626,1.4,15707.029995509944
salon_078,Other,15596.795907351154,57,7583,245,74794.33927828824,0.7546352918601166,2.3,9283.855791768146
salon_079,barber_shop,20384.474742922856,42,639,398,79861.36406226883,0.102916030744145,1.3,19894.808158158765
salon_080,Other,0.0,48,5064,999,44769.23761119647,0.5364813514845947,4.0,0.0
salon_081,hair_salon,24615.813041709764,56,4935,743,48641.34502492753,0.3788215655569157,2.1,11316.659900737106
salon_082,barber_shop,28533.024768392308,63,3875,772,62259.9727409403,0.4570002192816783,4.6,26607.89961816742
salon_083,hair_salon,0.0,48,6142,834,68397.47437897715,0.6039578720725125,3.1,0.0
salon_084,hair_salon,20045.72172870069,56,7202,410,59887.72556620362,0.5022883474625301,4.2,17218.2913853527
salon_085,barber_shop,18172.303515837288,61,7412,633,43620.05964286611,0.5398606371128367,4.9,21545.37503667128
salon_086,Other,23245.43366314553,58,5420,776,64965.78158964799,0.4863574819956078,4.4,20153.286299921125
salon_087,hair_salon,13885.632316623463,60,6232,312,58057.48611765965,0.4089551770854932,4.5,18046.609468142786
salon_088,barber_shop,22681.680161910328,39,7991,928,57937.61041044133,0.7718819805982451,2.6,25982.423283328128
salon_089,hair_salon,15426.545343693611,51,2879,216,37220.49582189442,0.0122030723180445,3.2,28060.84876257171
salon_090,hair_salon,23102.741079808675,49,1024,238,67974.84204478314,0.598442701205227,2.0,16788.356864406374
salon_091,hair_salon,19195.313115684683,46,1681,862,61452.04060285458,0.5655083473229738,1.8,22268.60120256942
salon_092,hair_salon,18058.67800511693,56,7814,919,77951.64556638963,0.7161790747329522,3.0,29707.19820360337
salon_093,Other,15572.438130855757,57,3424,587,59254.92353468827,0.5990293647773265,3.4,26134.217219289832
salon_094,hair_salon,18216.27487115903,50,5813,84,65663.40130519023,0.8267988278090783,2.4,27026.18463040293
salon_095,hair_salon,22780.608992669822,51,7126,444,68318.18176105263,0.9590747945640278,3.3,30207.911844654485
salon_096,hair_salon,25219.30305459329,60,355,112,42538.38441338809,0.3425242571785434,4.5,30129.0710342395
salon_097,Other,22632.24080667348,40,4904,431,86166.99946601593,0.227350983029987,3.2,28171.855781818394
salon_098,hair_salon,26819.43262208553,56,1938,713,55692.07612077383,0.4235968624204829,3.9,22869.624488687085
salon_099,hair_salon,32695.81358134666,39,109,773,64945.66602142485,0.2879296164757261,4.2,19705.10189525145
